id,name,flavors,race,positive_effects,negative_effects,medical_uses,Rating,Description
28,Alien Rock Candy,"['Sweet', 'Earthy', 'Citrus']",hybrid,"['Relaxed', 'Euphoric', 'Happy', 'Uplifted', 'Sleepy', 'Tingly']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Lack of Appetite']",4.7,"Alien Rock Candy by Alien Genetics is an indica-dominant hybrid with an aroma as sweet as the name suggests. This Sour Dubble and Tahoe Alien cross captures a fruity, citrus aroma that carries through until the exhale. Full relaxation of the mind and body make this strain ideal for the end of an active or stressful day, with a heaviness that segueways nicely into sleep. The effects may take a few minutes to peak, but Alien Rock Candy packs a powerful euphoric punch once it sets in. A good choice for both novice and expert growers alike, Alien Rock Candy finishes around 8 weeks into its flowering cycle. "
29,Alien Sour Apple,"['Apple', 'Orange', 'Ammonia', 'Sweet', 'Lemon']",hybrid,"['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted']",[],"['Depression', 'Stress', 'Lack of Appetite', 'Muscle Spasms']",4.6,"Alien Sour Apple is a sativa-dominant hybrid that mixes the genetics of Alien Dawg with Sour Apple. Bred by Franchise Genetics, Alien Sour Apple tastes sweet and sour, like a Granny Smith apple. Its heady sativa effects provide a lift of energy and incite an optimistic sense of euphoria."
30,Alien Stardawg,"['Earthy', 'Pungent', 'Rose', 'Diesel', 'Spicy/Herbal', 'Sage']",sativa,"['Euphoric', 'Happy', 'Creative', 'Uplifted', 'Tingly']",['Dry Mouth'],"['Depression', 'Stress', 'Lack of Appetite']",4.4,"Alien Stardawg is a sativa-dominant hybrid cross of Alien Kush and Stardawg bred by Green Beanz Seeds. Stretchy plants produce large yields of frosty green, red, blue, and purple colored buds with pleasing cherry hash and chem-fuel flavors and a potent well-rounded high.  "
31,Alien Technology,"['Spicy/Herbal', 'Chemical', 'Woody', 'Earthy']",indica,"['Relaxed', 'Happy', 'Uplifted', 'Giggly', 'Euphoric', 'Focused']",['Dry Mouth'],"['Depression', 'Pain', 'Stress', 'Headaches']",4.5,"Very little is known about Alien Technology other than it is a landrace strain selected from a handful of seeds acquired by breeder OBSoul33t from a US soldier returning from Afghanistan. It is a pure indica that features light green buds, incredible trichome production, and a spicy, hashy flavor/aroma with fuel undertones. Reports indicate that the high is more stimulating than your typical indica, while lasting as long as 6 hours. Alien Technology has been used in breeding some of today’s most potent hybrids such as Alien Dawg and Alien Kush."
32,Aliens On Moonshine,"['Berry', 'Butter', 'Citrus', 'Sage', 'Grapefruit']",indica,"['Relaxed', 'Happy', 'Tingly', 'Focused', 'Talkative', 'Uplifted', 'Giggly']",[],"['Depression', 'Stress', 'Headaches', 'Inflammation']",4.5,"Aliens On Moonshine by Sin City Seeds is a potent CBD-rich phenotype of The Cali Connection’s Sour Alien crossed with White Moonshine. This indica-dominant strain emits a funky aroma that is a clashing of sour, sweet, and chemicals. The 5:1 CBD/THC ratio gives Aliens On Moonshine potent medicinal properties while remaining mostly functional. Its effects land firmly in the body and can assist with inflammation, irritability, and minor physical discomfort. The uplifting, clearheaded buzz and soothing physical effects make Aliens On Moonshine an excellent add-in or standalone strain for CBD lovers everywhere.    "
33,Allen Wrench,"['Berry', 'Tropical', 'Mango', 'Citrus', 'Earthy', 'Pungent']",sativa,"['Euphoric', 'Happy', 'Creative', 'Energetic', 'Uplifted', 'Focused', 'Hungry']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Nausea']",4.3,"A popular strain for sativa-lovers, Allen Wrench presents the best qualities of its parents, Trainwreck and NYC Diesel with crisp flavors of sour fruit. Its aroma has been characterized as sour and flowery, leaving a lingering scent of fruit. Allen Wrench is known to provide users with a long-lasting cerebral high and fill an entire room with its strong essence. The buds have a dark-green color and dark foliage with orange pistils growing out. Allen Wrench also has a 10-11 week flowering time and medium to medium-high THC content."
34,Allkush,"['Honey', 'Spicy/Herbal', 'Earthy']",indica,"['Relaxed', 'Happy', 'Sleepy', 'Uplifted']",['Dry Eyes'],"['Pain', 'Stress', 'Eye Pressure']",5.0,"Allkush, 2nd prize winner at the 2005 Highlife Cannabis Cup, is a hashy Kush blend bred by Paradise Seeds of Amsterdam. This resinous flower hails from the “Hippie Trail” that winds through Pakistan and Afghanistan, creating a 75/25 indica-dominant strain that soothes without binding the consumer to the couch. With traditional uplifting cerebral elements and a pleasant sedation on the body, Allkush shines on patients seeking relief from sleep disorders, anxiety, and depression. "
35,Aloha,"['Tropical', 'Sweet', 'Citrus']",sativa,"['Relaxed', 'Happy', 'Creative', 'Energetic', 'Uplifted', 'Focused']","['Dizzy', 'Dry Mouth', 'Dry Eyes']","['Depression', 'Pain', 'Stress', 'Fatigue', 'Headaches']",4.2,"Aloha is a sativa strain that leaves users with an upbeat, energetic buzz and may also be helpful in treating pain such as migraines. Aloha’s flowers will be large and fluffy, with plenty of room for white wispy hairs and sparkling crystals. The aroma of this strain is that of grass and citrus for a fresh experience that may have you thinking of your next island getaway. Its sativa effects can be a little much for some users, so those who are looking for less mental stimulation should be warned."
36,Aloha Limone,"['Citrus', 'Earthy', 'Pungent', 'Sweet']",hybrid,"['Relaxed', 'Happy', 'Creative', 'Energetic', 'Uplifted', 'Euphoric', 'Talkative']","['Dry Mouth', 'Dry Eyes']","['Depression', 'Pain', 'Stress']",4.8,"The smell of Aloha Limone has been described as, “a fruit tree rotting in the Kona sun.” Citrus notes are native to this Hawaiian Sunrise and Nina Limone cross, but the plant also expresses latent floral and pungent elements from recessive Kush genetics. Plan on cheeky euphoria and a physical lightness that encourages outdoor activity. Aloha Limone is a proprietary genetic cross of Colorado Seed Inc.  "
37,Alohaberry,"['Berry', 'Sweet', 'Citrus', 'Apple', 'Chestnut']",hybrid,"['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Giggly', 'Uplifted', 'Aroused', 'Tingly']","['Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Pain', 'Stress', 'Nausea', 'Fatigue']",4.2,"Originating from the tropical islands of Hawaii, Alohaberry releases a pleasant aroma and taste of tropical berries. It is known for its unique sweet taste and because it is an equal hybrid, the effects are both mind and body. Flowering time for this plant is approximately 8-9 weeks."
38,Alpha Blue,"['Blueberry', 'Sweet', 'Berry', 'Earthy']",sativa,"['Relaxed', 'Happy', 'Energetic', 'Uplifted', 'Focused', 'Euphoric', 'Talkative']","['Dizzy', 'Dry Mouth', 'Dry Eyes', 'Anxious']","['Depression', 'Insomnia', 'Stress', 'Lack of Appetite', 'Fatigue']",4.5,"Alpha Blue, also known as Dream Diesel (or DD), is a high-flying sativa that combines Blue Dream and NYC Diesel. In 2011 this compelling blend claimed two 2nd place prizes for a sativa at the High Times’ Medical Cup in Denver and San Francisco. Its buds are glazed with sugary trichomes and take on hues of deep red and violet. The aroma is a combination of tart blueberry and sour candy that create a pungent mixture of earthy berry and Haze upon exhale. The sweet fragrance of Alpha Blue brings with it uplifting effects that produce a calming, relaxed mood without putting you to sleep. The cerebral and happy buzz is a great tool when coping with stress and anxiety."
40,Alpha Express,"['Spicy/Herbal', 'Nutty', 'Tea', 'Diesel', 'Earthy']",sativa,"['Happy', 'Creative', 'Energetic', 'Uplifted', 'Focused', 'Talkative', 'Relaxed']",['Dry Mouth'],"['Depression', 'Cramps', 'Fatigue', 'Headaches', 'Inflammation']",4.7,"Alpha Express is an introspective sativa strain that descends from Alpha Blue and Ghost Train Haze. With a complex flavor that spans sour juniper and musky cedar notes, Alpha Express delivers spacey cerebral effects perfect for meditative or creative activities. Its buds bloom with trichome-covered calyxes that carry a red tint as the flowers mature."
42,Alpine Blue,"['Berry', 'Blueberry', 'Pine']",hybrid,"['Euphoric', 'Creative', 'Energetic', 'Uplifted', 'Aroused']",[],"['Depression', 'Pain', 'Stress', 'Inflammation', 'Muscle Spasms']",5.0,"Alpine Blue is a 60/40 sativa-dominant hybrid that combines Blue Mystic and Power Plant, who pass on uplifting euphoric effects alongside a complex aroma of blueberry and woody pine. While some phenotypes tend toward the indica side of the spectrum, even its common sativa expression induces calming full-body effects. Patients typically look to Alpine Blue for daytime relief of anxiety and mood disorders, gastrointestinal pain, and inflammation."
43,Alpine Star,"['Pine', 'Earthy', 'Lemon', 'Citrus']",indica,"['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Uplifted', 'Tingly']",['Dry Mouth'],"['Depression', 'Insomnia', 'Pain', 'Stress', 'Fatigue']",4.2,"Alpine Star, often labeled as Alpine OG, is an earthy, citrus mix of Tahoe OG and Sensi Star genetics. Zesty lemon flavors lead Alpine Star’s wave of relaxing indica effects. The pain relieving properties of Alpine Star radiate from the head and neck, calming anxieties and muscle tension as the effects descend to the lower extremities."
44,Ambrosia,"['Earthy', 'Tropical', 'Butter', 'Flowery', 'Lavender']",hybrid,"['Relaxed', 'Hungry', 'Euphoric', 'Happy', 'Tingly', 'Uplifted', 'Creative', 'Focused']","['Dizzy', 'Dry Mouth', 'Dry Eyes', 'Anxious']","['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Headache', 'Fatigue']",4.4,"Stemming from her parents, God Bud and Burmese, the Ambrosia strain is a high that will hit you almost instantaneously and will be felt throughout your body. Her mother, Burmese is a sativa from the Mighty Mite Seed Company and was voted #1 People's Choice at the Cannabis Culture Toker's Bowl in 2002. For dad, God Bud from Jordan of the Islands, is a mostly indica plant, popular for it's tropical sweet flavor. Ambrosia produces a large amount of dense and sticky buds with yellow leaves and orange hairs. "
45,American Dream,"['Earthy', 'Sweet', 'Pungent']",hybrid,"['Relaxed', 'Euphoric', 'Happy', 'Creative', 'Focused', 'Tingly', 'Energetic']","['Dry Mouth', 'Dry Eyes']","['Depression', 'Insomnia', 'Pain', 'Stress', 'Inflammation']",4.7,"American Dream by Sensi Seeds is an indica-dominant strain that blends Afghan Skunk with Jamaican and Hawaiian genetics. Its name is charged with meaning, mainly in that this indica represents “honest toil, personal improvement, and enjoying the fruits of one’s labor,” as Sensi Seeds puts it. Earthy and skunky in flavor, American Dream helps you pursue happiness with balanced uplifting, social effects appropriate for day or evening use. "
46,American Kush,"['Sweet', 'Lemon', 'Lime']",indica,"['Relaxed', 'Happy', 'Tingly', 'Sleepy', 'Uplifted']","['Dry Mouth', 'Dry Eyes']","['Insomnia', 'Pain', 'Stress', 'Headaches', 'Muscle Spasms']",4.8,"American Kush, by Alphakronik Genes (AKG), is a 70/30 indica-dominant combination of Pre-98 Bubba Kush and Sin City Kush. It is a robust strain with large bulbous colas that deliver the profound, relaxing body effects that have made Kush strains so popular. With a smooth palate of flavors ranging from fresh lemon to spicy notes of lavender and coffee, American Kush is a delightful answer to muscle spasms, chronic pain, and nausea."
47,Americano,"['Earthy', 'Diesel', 'Spicy/Herbal', 'Tobacco']",indica,"['Relaxed', 'Euphoric', 'Creative', 'Focused', 'Aroused']",[],"['Pain', 'Nausea', 'Headaches']",4.6,"Americano is a Canadian strain released by Enterprise Seeds. It is a Northern Lights/Skunk hybrid that is named for the American consumers it was designed to attract. When tourists, notably Americans, came to Vancouver looking to purchase bulk cannabis, they wanted their buds to have “bag appeal,” or stunning visual characteristics that made it easy to sell. Americano is known for its heavy coat of trichromes and its thick dense colas. The flavors and aromas of Americano stay true to its Skunk lineage and produce a sweet, piney musk. The effects are exactly what you would expect from an indica-driven hybrid: fast-acting, relaxing, and sleepy. Americano is a solid answer to symptoms of insomnia, headaches, and chronic pain."
50,Amnesia,"['Earthy', 'Sweet', 'Citrus', 'Skunk']",sativa,"['Relaxed', 'Euphoric', 'Happy', 'Energetic', 'Uplifted', 'Creative']","['Dry Mouth', 'Paranoid', 'Dry Eyes', 'Anxious']","['Depression', 'Pain', 'Stress', 'Lack of Appetite', 'Headache', 'Headaches']",4.3,"Amnesia is typically a sativa-dominant cannabis strain with some variation between breeders. Skunk, Cinderella 99, and Jack Herer are some of Amnesia’s genetic forerunners, passing on uplifting, creative, and euphoric effects ideal for treating mood disorders. Growers should expect a 9-10 week flowering period with moderate yields. This strain normally has a high THC and low CBD profile and produces intense psychotropic effects that new consumers should be wary of. "
52,Amnesia Haze,"['Citrus', 'Lemon', 'Earthy']",sativa,"['Euphoric', 'Happy', 'Creative', 'Energetic', 'Uplifted']","['Dizzy', 'Dry Mouth', 'Paranoid', 'Dry Eyes']","['Depression', 'Pain', 'Stress', 'Headache', 'Fatigue', 'Headaches']",4.3,"With earthy flavors of lemons and citrus, Amnesia Haze is a perfect strain to start your day with a smile. The uplifting, energetic buzz is one you won’t soon forget. Its genetics have been traced back to the South Asian and Jamaican landrace strains, and this Cannabis Cup winner (1st place 2004, 1st place Sativa Cup 2012) has since been popularized in the coffee shops of Amsterdam."
